start_index,matrix_profile,nearest_neighbor_index
793,11.322358014837027,12840
794,11.277068552194578,12841
795,10.857658425957718,5523
796,11.251219358818938,12843
797,11.143275206092738,22864
798,11.077897350822719,22865
799,10.99823698673773,22866
800,11.002157570309013,22867
801,11.055596138357393,22868
802,11.077052204018386,22869
803,11.109676913944304,22870
804,11.16047098472685,22871
805,11.164969357290216,22872
806,11.131480628902022,22873
807,11.061826168639058,22874
808,10.87029068850275,2834
809,10.96644660795301,2835
810,11.106405412566128,18938
811,11.017337591876307,1662
812,10.775001564394053,1663
813,10.730134331366772,1664
814,10.786955455799832,1665
815,11.120429338335667,1666
816,11.233934470241035,24951
817,11.061118950579027,26065
818,10.916309010947634,26066
819,11.004942034961216,26067
820,11.169216270919035,24955
821,11.20302296859101,24956
822,10.998884347422015,24957
823,9.38261600457587,15029
824,4.733851987110669,15030
825,3.3605150862719615,6873
826,3.0219457730537034,6874
827,3.1786570282663256,6875
828,3.3289121362548864,26077
829,3.244696048599259,20990
830,2.9318691697395938,16959
831,2.7583262472813668,6879
832,2.6749688187717204,26081
833,2.4888668353996652,26082
834,2.4868203340391943,26083
835,2.413674380973145,26084
836,2.485747945807096,26085
837,2.751943924119609,20998
838,2.7748029528059974,18311
839,2.6650434073015354,18312
840,2.6428824978388166,18313
841,2.5885251051815645,18314
842,2.5796657244214267,2285
843,2.516477384696536,2286
844,2.466113825654633,18317
845,2.4079511756365886,18318
846,2.3720954090676,18319
847,2.322529210745302,18320
848,2.3026444460462208,18321
849,2.3405674746816945,2292
850,2.3736128805835577,2293
851,2.369168007327706,2294
852,2.3508783255278867,2295
853,2.3378110162975503,2296
854,2.3234596759176074,2297
855,2.387149156534337,16984
856,2.460461104437217,184
857,2.462807494316818,16986
858,2.5458305923742284,16987
859,2.646645948708025,16988
860,2.6879013978335506,188
861,2.6953325950506444,189
862,2.6501875825642003,3261
863,2.662306175124909,3262
864,2.66531582219155,3263
865,2.6623191421605963,3264
866,2.701064813711614,3265
867,2.7075525697274907,3266
868,2.6979508085132995,3267
869,2.7311907353579667,3268
870,2.7321429019636057,3269
871,2.7387186068800613,3270
872,2.7459936325295144,3271
873,2.747689979229515,3272
874,2.7806611350685997,3273
875,2.773019505230072,3274
876,2.780635925253328,204
877,2.777652812470166,205
878,2.7850231066016704,3277
879,2.7816527734303618,3278
880,2.7821636579523035,3279
881,2.7831518592638274,3280
882,2.790280689546656,3281
883,2.7907192551917905,3282
884,2.791614047279081,3283
885,2.8602709079728745,3284
886,2.8627978128558875,3285
887,2.8823037069617703,3286
888,2.8836617240778977,3287
889,2.8718247300269173,3288
890,2.8604147699678357,3289
891,2.863421811991593,3290
892,2.862264719404456,3291
893,2.8662370672231607,3292
894,2.8653192298374166,3293
895,2.870081119415176,3294
896,2.8706576128917454,3295
897,2.857195141319633,3296
898,2.8592144145807556,3297
899,2.8606732886581367,3298
900,2.8619602986634334,3299
901,2.8619522257273213,3300
902,2.872226677758427,3301
903,2.874741522856108,3302
904,2.8776299622156496,3303
905,2.8759805990359544,3304
906,2.8757268526391337,3305
907,2.898688672705364,3306
908,2.9000875083007296,3307
909,2.898429109969991,3308
910,2.898296244981006,3309
911,2.882631380248255,3310
912,2.914228492983962,3311
913,2.9128613517276705,3312
914,2.91494877583006,3313
915,2.9589311444052844,3314
916,2.9529292627862267,3315
917,2.933358283384944,3316
918,2.948432712728862,3317
919,2.9247116602446703,12640
920,2.931824514820911,3319
921,2.9753451630505245,3320
922,2.920285837674237,2361
923,2.874156922496707,2362
924,3.1713314485210065,2364
925,3.09934202540782,3132
926,3.12606089167638,3133
927,3.135556003440001,3134
928,3.0950732571425212,3135
929,3.1032440884699226,3038
930,2.9982551582803145,3137
931,3.0656113275293224,3137
932,3.058287938296904,3139
933,3.071481971373775,3140
934,2.9725904604723348,3141
935,3.026163509347921,3142
936,3.0193959860133184,3143
937,3.063131556139096,3144
938,3.0764771810804974,3145
939,3.0622587260945577,3146
940,3.126382757355414,3147
941,3.29059430271421,3148
942,3.2997962947785817,3149
943,3.290955688728612,3150
944,3.304602238033134,3151
945,3.3130137456886164,3152
946,3.3270896133747665,3153
947,3.3235426993753348,3154
948,3.3405112777845494,3155
949,3.3550461460801224,3156
950,3.5313953492645713,371
951,3.491588893358597,2967
952,3.47863283543781,373
953,3.3649170125723544,2969
954,3.6244883453979955,15063
955,3.265550732165534,15064
956,3.0608243486007747,15065
957,3.4659398026985375,185
958,3.622892173999142,186
959,3.696837374451048,189
960,3.6967842817293013,190
961,3.6969097802469686,191
962,3.7139729417545926,192
963,3.7126164740019414,193
964,3.7124678520968595,194
965,3.695357234489548,195
966,3.6980338559042716,196
967,3.689995322285236,197
968,3.6685856127962935,198
969,3.6717429572891507,199
970,3.6698463981530374,200
971,3.668730359838557,201
972,3.671689890036205,202
973,3.6904065435736113,203
974,3.685287909286745,204
975,3.6890964220281566,205
976,3.684716040228011,206
977,3.6835003078484236,207
978,3.703309135558807,208
979,3.7568980561717757,208
980,3.7553089563472497,209
981,3.7083024711246644,210
982,3.6918431158352774,211
